         正样本量   负样本量
窦性心律  16918   7188
T波改变  3421   20685
窦性心动过缓  3372   20734
ST段改变  2967   21139
正常ECG  4171   19935
左心室高电压  4326   19780
ST-T改变  2111   21995
窦性心动过速  2010   22096
临界ECG  1911   22195
QRS低电压  1543   22563
房性早搏  1470   22636
电轴左偏  1137   22969
电轴右偏  1055   23051
心房颤动  1217   22889
异常ECG  1061   23045
室性早搏  971   23135
完全性右束支传导阻滞  1109   22997
窦性心律不齐  924   23182
左心室肥大  432   23674
右束支传导阻滞  392   23714
一度房室传导阻滞  282   23824
快心室率  229   23877
不完全性右束支传导阻滞  199   23907
非特异性T波异常  125   23981
QT间期延长  101   24005
左前分支传导阻滞  106   24000
非特异性ST段异常  78   24028
差异性传导  75   24031
非特异性ST段与T波异常  61   24045
起搏心律  74   24032
短PR间期  55   24051
下壁异常Q波  53   24053
快室率心房颤动  42   24064
逆钟向转位  34   24072
室内差异性传导  36   24070
早期复极化  37   24069
二联律  27   24079
室上性早搏  33   24073
顺钟向转位  30   24076
复极化异常  29   24077
未下传的房性早搏  25   24081
肺心病型  27   24079
慢心室率  30   24076
短串房性心动过速  21   24085
非特异性室内传导延迟  16   24090
右心房扩大  24   24082
左束支传导阻滞  18   24088
前间壁R波递增不良  19   24087
右心室肥大  18   24088
房室传导延缓  10   24096
双分支传导阻滞  20   24086
非特异性室内传导阻滞  17   24089
肺型P波  17   24089
完全性左束支传导阻滞  20   24086
融合波  18   24088
